item_category,order_id,order_item_total_price,spend_per_order
Prints,869,69854.37999999989,80.38478711162243
Digital Media,416,37677.379999999954,90.5706249999999
Products,55,7502.13,136.40236363636365
Packages,21,922.0,43.904761904761905
Canvases,15,2932.97,195.53133333333332
PRINTS,10,826.5,82.65
Digital Files,10,1675.0,167.5
,7,205.9,29.414285714285715
Individual Prints,7,173.0,24.714285714285715
Digital Images,7,1358.16,194.02285714285716
RCLC Prints,5,140.04,28.008
STANDARD SIZES,5,133.0,26.6
A La Carte,5,75.0,15.0
Raffle,4,45.0,11.25
MULTI-POSE PACKAGES,4,310.0,77.5
SINGLE POSE PACKAGES,4,130.0,32.5
Print Packages,4,230.0,57.5
ONLINE ITEMS,3,120.0,40.0
Team Portrait,3,0.0,0.0
Collections,3,2292.0,764.0
RCLC Digital Media,3,90.0,30.0
Print,3,3022.0,1007.3333333333334
Add-On Products,3,60.0,20.0
Print Only Pkgs,3,100.0,33.333333333333336
Prints - A la Carte,2,154.0,77.0
Fine Art Prints,2,1148.0,574.0
Downloadable Images,2,210.0,105.0
Group Photo,2,0.0,0.0
Pickup Options,2,0.0,0.0
A LA CARTE,2,375.0,187.5
Posters,2,60.0,30.0
PS Collections,2,1190.0,595.0
Albums,2,242.5,121.25
Standard Prints,2,865.0,432.5
Digital Collections,2,300.0,150.0
Digital Downloads,2,335.0,167.5
Package 1,1,50.0,50.0
USB,1,225.0,225.0
Téléchargement,1,0.0,0.0
Package Inclusions,1,0.0,0.0
Thank You Cards,1,75.0,75.0
Studio Prints,1,55.0,55.0
Standout Prints,1,150.0,150.0
Papperskopior,1,38.0,38.0
Poses,1,220.0,220.0
Wedding Media,1,499.99,499.99
Specialty Products,1,14.0,14.0
Specialty Prints,1,0.0,0.0
Wedding Fees,1,659.8,659.8
SINGLE PRINTS,1,86.0,86.0
Social Media Files,1,0.0,0.0
Prints - Individual,1,44.0,44.0
Pro Prints,1,108.15000000000003,108.15000000000003
Small Prints,1,54.0,54.0
Session Fee,1,75.0,75.0
USB Digital Images,1,299.0,299.0
Wall Art,1,120.0,120.0
Remaining Balance,1,350.0,350.0
Tirages,1,48.0,48.0
Reservation Deposit,1,50.0,50.0
Retouching,1,450.0,450.0
SHEETS,1,158.0,158.0
School packages,1,225.0,225.0
Traditional Prints,1,60.0,60.0
Instant Download,1,99.98,99.98
PS Gallery Book,1,61.0,61.0
Digitale billeder,1,499.0,499.0
Digital Package,1,50.0,50.0
Digital Image Files,1,104.0,104.0
Digital Image,1,500.0,500.0
Digital Files & CDs,1,100.0,100.0
Digital CD Images,1,165.0,165.0
DVD,1,500.0,500.0
DIGITAL JPEG FILES,1,129.0,129.0
Custom Prints,1,39.98,39.98
Collection Pricing,1,380.0,380.0
Collages,1,115.0,115.0
Classes,1,100.0,100.0
Canvas/lærredsfoto,1,2100.0,2100.0
CD of images,1,100.0,100.0
Art Collections,1,1000.0,1000.0
Albums / Books,1,875.0,875.0
Albums & Cards,1,40.0,40.0
AlaCarte,1,10.0,10.0
Add Ons,1,8.0,8.0
ALA CARTE/CLASS,1,24.0,24.0
Digital billeder,1,150.0,150.0
Digitale downloads,1,447.0,447.0
Other Products,1,75.0,75.0
Digitals,1,85.0,85.0
Metals,1,94.0,94.0
Lataa vedokset,1,0.0,0.0
Kuvatiedostot,1,99.0,99.0
 Prints,1,40.0,40.0
Images,1,80.0,80.0
Headshot Prints,1,30.0,30.0
Gift/Mounted Prints,1,145.0,145.0
Gift/Desk Prints,1,0.0,0.0
Gift Prints,1,80.0,80.0
GIFT PRINTS,1,70.0,70.0
Förstoringar,1,1288.0,1288.0
Fremkaldelser,1,360.0,360.0
Fotoabzüge,1,165.0,165.0
Forfaits Garderie,1,100.0,100.0
Fees,1,100.0,100.0
Extras!,1,9.0,9.0
Downloads and CD,1,75.0,75.0
Disc/USB with Images,1,15.0,15.0
Disc,1,150.0,150.0
Övriga Produkter,1,560.0,560.0
